cons.conf.idx,cons.price.idx,contact,day_of_week,default,emp.var.rate,euribor3m,housing,loan,marital,month,nr.employed,poutcome,profession,responded,schooling,campaign1,custAge1,pastEmail1,pcontacted_pdays,pContacted_previous
-42.0,93.2,cellular,mon,unknown,-0.1,4.191,no,no,single,nov,5195.8,nonexistent,admin.,no,university.degree,1,55.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,no,no,married,jul,5228.1,nonexistent,blue-collar,no,other,1,42.0,no,True,no
-36.4,93.994,telephone,mon,no,1.1,4.857,no,no,married,may,5191.0,nonexistent,technician,no,high.school,1,42.0,no,True,no
-42.7,93.91799999999999,cellular,wed,unknown,1.4,4.962,yes,yes,divorced,jul,5228.1,nonexistent,management,no,other,2,55.0,no,True,no
-46.2,92.89299999999999,cellular,tue,no,-1.8,1.291,yes,no,divorced,may,5099.1,failure,admin.,no,university.degree,5,45.0,yes,True,yes
-36.4,93.994,telephone,fri,no,1.1,4.857,yes,no,married,may,5191.0,nonexistent,blue-collar,no,basic.4y,1,47.0,no,True,no
-36.4,93.994,telephone,tue,no,1.1,4.856,yes,no,single,may,5191.0,nonexistent,services,yes,other,1,35.0,no,True,no
-36.4,93.994,telephone,wed,no,1.1,4.856,yes,no,married,may,5191.0,nonexistent,services,no,high.school,2,42.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.3130000000000002,yes,no,married,may,5099.1,nonexistent,unemployed,no,basic.9y,1,28.0,no,True,no
-42.0,93.2,cellular,mon,no,-0.1,4.191,yes,no,married,nov,5195.8,failure,blue-collar,no,basic.9y,2,46.0,no,True,yes
-36.1,93.444,cellular,mon,no,1.4,4.965,yes,no,married,aug,5228.1,nonexistent,admin.,no,other,3,42.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,yes,no,married,jul,5228.1,nonexistent,blue-collar,no,basic.4y,2,41.0,no,True,no
-42.7,93.91799999999999,cellular,fri,no,1.4,4.957,no,no,single,jul,5228.1,nonexistent,admin.,no,university.degree,1,35.0,no,True,no
